Subject,CatalogNumber,CourseTitle,CourseType,Dates,Credit,MeetingTime,Room,Instructor,TotalSeats,SeatsTaken,AvailableSeats
MSFI,444,Entrepreneurial Finance,Lecture,02/01/2021 - 05/07/2021,3 units,Th 6:00 PM - 8:30 PM,Peter B Lewis 201,Michael Goldberg,70,36,34
MSFI,444,Entrepreneurial Finance,Lecture,02/01/2021 - 05/07/2021,3 units,Th 6:00 PM - 8:30 PM,Web/Distance Learning,Michael Goldberg,70,36,34
MSFI,470,Financial Models Using Big Data,Lecture,02/01/2021 - 05/07/2021,3 units,Th 7:00 AM - 9:45 AM,Web/Distance Learning,Joonwoo Bae,70,57,13
MSFI,480,Global Banking &amp; Capital Markets,Lecture,02/01/2021 - 05/07/2021,3 units,M 7:00 AM - 9:45 AM,Web/Distance Learning,Lakshmi Balasubramanyan,70,24,46
MSFI,494,Artificial Intelligence for Financial Modeling,Lecture,02/01/2021 - 05/07/2021,3 units,W 7:00 AM - 9:45 AM,Web/Distance Learning,Lakshmi Shankar Ramachandran,70,72,-2
MSOR,406,Operations Management,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 8:30 AM - 9:45 AM,Peter B Lewis 05,Shitao Yang,30,15,15
MSOR,406,Operations Management,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 8:30 AM - 9:45 AM,Web/Distance Learning,Shitao Yang,30,15,15
MSOR,420,Six Sigma and Quality Management,Lecture,02/01/2021 - 05/07/2021,3 units,F 8:30 AM - 11:15 AM,Peter B Lewis 04,Robert Kenney,50,34,16
MSOR,420,Six Sigma and Quality Management,Lecture,02/01/2021 - 05/07/2021,3 units,F 8:30 AM - 11:15 AM,Web/Distance Learning,Robert Kenney,50,34,16
MSOR,422,Lean Operations,Lecture,02/01/2021 - 05/07/2021,3 units,M 8:30 AM - 11:15 AM,Web/Distance Learning,Michael Goulder,23,21,2
MSOR,432,Computer Simulation,Lecture,02/01/2021 - 05/07/2021,3 units,Tu 7:00 PM - 9:45 PM,Web/Distance Learning,Pooyan Kazemian,50,41,9
MSOR,433,Foundations of Probability and Statistics,Lecture,02/01/2021 - 05/07/2021,3 units,M 7:00 PM - 9:45 PM,Web/Distance Learning,Pooyan Kazemian,35,27,8
MSOR,477,Enterprise Resource Planning in the Supply Chain,Lecture,02/01/2021 - 05/07/2021,3 units,MW 7:00 PM - 8:15 PM,Web/Distance Learning,Maryam Zokaeinikoo,35,24,11
